State,Year,PM25
Arizona,2015,27.200213891703253
Arizona,2016,27.580213903743314
Arizona,2017,29.558201058201057
Arizona,2018,27.994505494505496
Arizona,2019,22.716542386185242
Arizona,2020,28.378826530612244
Arizona,2021,27.69289638932496
Arkansas,2015,31.237758537758538
Arkansas,2016,30.067031798056465
Arkansas,2017,28.536159918512862
Arkansas,2018,32.65934065934066
Arkansas,2019,34.19445131731622
Arkansas,2020,33.77984162414966
Arkansas,2021,35.87863860105898
California,2015,40.95128457385626
California,2016,36.17263690610129
California,2017,33.956768954104845
California,2018,37.45598290598291
California,2019,33.38486158580063
California,2020,41.22440583340079
California,2021,36.01231605185029
Colorado,2015,26.95767195767196
Colorado,2016,25.502673796791445
Colorado,2017,27.6984126984127
Colorado,2018,27.782857142857143
Colorado,2019,30.40423861852433
Colorado,2020,31.882653061224488
Colorado,2021,33.94373135020553
Connecticut,2015,37.77777777777778
Connecticut,2016,26.40106951871658
Connecticut,2017,25.74074074074074
Connecticut,2018,28.95054945054945
Connecticut,2019,28.736263736263737
Connecticut,2020,28.964285714285715
Connecticut,2021,29.93622448979592
District of Columbia,2015,37.66137566137566
District of Columbia,2016,31.513368983957218
District of Columbia,2017,26.85185185185185
District of Columbia,2018,30.725274725274726
District of Columbia,2019,28.501177394034535
District of Columbia,2020,26.82908163265306
District of Columbia,2021,30.428571428571427
Florida,2015,38.603726339020454
Florida,2016,32.74241800869872
Florida,2017,35.420634920634924
Florida,2018,32.99235019124522
Florida,2019,28.841070795563883
Florida,2020,32.04974489795919
Florida,2021,30.350765306122447
Georgia,2015,33.603459703075295
Georgia,2016,33.84373872248286
Georgia,2017,29.71957671957672
Georgia,2018,31.835164835164832
Georgia,2019,37.11018445839874
Georgia,2020,31.793367346938776
Georgia,2021,35.198821796759944
Hawaii,2015,23.867724867724867
Hawaii,2016,20.235294117647058
Hawaii,2017,18.444444444444443
Hawaii,2018,17.685082872928177
Hawaii,2019,16.55690737833595
Hawaii,2020,18.86479591836735
Hawaii,2021,15.707385214196702
Idaho,2015,32.52910052910053
Idaho,2016,14.95187165775401
Idaho,2017,27.155080213903744
Idaho,2018,20.697802197802197
Idaho,2019,27.629030479953432
Idaho,2020,32.88633494634968
Idaho,2021,32.57671470650116
Illinois,2015,37.026455026455025
Illinois,2016,32.6951871657754
Illinois,2017,32.682539682539684
Illinois,2018,32.467032967032964
Illinois,2019,36.239010989010985
Illinois,2020,32.11734693877551
Illinois,2021,36.34438775510204
Indiana,2015,41.58282208588957
Indiana,2016,35.95187165775401
Indiana,2017,32.51851851851852
Indiana,2018,34.82967032967033
Indiana,2019,35.11234416843661
Indiana,2020,34.744897959183675
Indiana,2021,39.06887755102041
Kentucky,2015,29.915343915343914
Kentucky,2016,26.44808743169399
Kentucky,2017,26.534391534391535
Kentucky,2018,27.519337016574585
Kentucky,2019,26.829418715318106
Kentucky,2020,25.557419217687077
Kentucky,2021,34.17857142857143
Maryland,2015,38.91255694196871
Maryland,2016,34.80748663101605
Maryland,2017,33.730158730158735
Maryland,2018,33.7189060939061
Maryland,2019,32.92584884503252
Maryland,2020,33.18364005658756
Maryland,2021,34.964285714285715
Massachusetts,2015,35.389348568426584
Massachusetts,2016,30.532085561497325
Massachusetts,2017,29.808975008443092
Massachusetts,2018,35.16208791208791
Massachusetts,2019,30.462748484903802
Massachusetts,2020,29.627551020408163
Massachusetts,2021,31.57780612244898
Michigan,2015,37.88012214342002
Michigan,2016,33.61049244872774
Michigan,2017,32.616402116402114
Michigan,2018,34.94659340659341
Michigan,2019,34.90308124599915
Michigan,2020,35.64417293233083
Michigan,2021,37.89632415083804
Minnesota,2015,32.42674362674363
Minnesota,2016,30.483957219251337
Minnesota,2017,29.61904761904762
Minnesota,2018,33.81318681318682
Minnesota,2019,28.924450549450547
Minnesota,2020,32.32272820939961
Minnesota,2021,32.39989975652742
Nebraska,2015,32.239263803680984
Nebraska,2016,29.379679144385026
Nebraska,2017,39.37765957446808
Nebraska,2018,37.285714285714285
Nebraska,2019,29.630102040816325
Nebraska,2020,30.135204081632654
Nebraska,2021,32.01146616541354
Nevada,2015,35.645161290322584
Nevada,2016,29.650537634408604
Nevada,2017,28.510752688172044
Nevada,2018,23.860335195530727
Nevada,2019,22.648837443044762
Nevada,2020,27.653061224489797
Nevada,2021,22.816382978723404
New Jersey,2015,30.595744680851062
New Jersey,2016,34.97222222222222
New Jersey,2017,28.557377049180328
New Jersey,2018,30.53409090909091
New Jersey,2019,32.307496075353214
New Jersey,2020,32.46938775510204
New Jersey,2021,34.8469387755102
New Mexico,2015,24.054545454545455
New Mexico,2016,20.267379679144383
New Mexico,2017,25.91005291005291
New Mexico,2018,22.186813186813186
New Mexico,2019,22.307888540031396
New Mexico,2020,24.346938775510203
New Mexico,2021,25.66881443298969
New York,2015,35.55343915343916
New York,2016,30.529787234042555
New York,2017,28.610266801756165
New York,2018,30.780927291886194
New York,2019,27.118647886505027
New York,2020,26.810714285714283
New York,2021,30.37049203242941
North Carolina,2015,35.91869918699187
North Carolina,2016,31.532373066528663
North Carolina,2017,34.473544973544975
North Carolina,2018,34.277472527472526
North Carolina,2019,35.29277864992151
North Carolina,2020,28.947901325478647
North Carolina,2021,33.525749362244895
Oklahoma,2015,32.374233128834355
Oklahoma,2016,28.027173913043477
Oklahoma,2017,28.894179894179896
Oklahoma,2018,36.40659340659341
Oklahoma,2019,35.24783132920099
Oklahoma,2020,36.43877551020408
Oklahoma,2021,39.28374787414966
Oregon,2015,23.94139989950046
Oregon,2016,18.31818181818182
Oregon,2017,18.253968253968253
Oregon,2018,16.74691319916039
Oregon,2019,23.51844583987441
Oregon,2020,28.646683673469386
Oregon,2021,21.15204870608037
Pennsylvania,2015,39.888888888888886
Pennsylvania,2016,36.705882352941174
Pennsylvania,2017,35.925925925925924
Pennsylvania,2018,37.11538461538461
Pennsylvania,2019,34.839678178963894
Pennsylvania,2020,32.90816326530612
Pennsylvania,2021,34.371977755448526
Rhode Island,2015,29.709876543209877
Rhode Island,2016,28.614973262032084
Rhode Island,2017,24.73015873015873
Rhode Island,2018,27.236263736263737
Rhode Island,2019,25.252354788069074
Rhode Island,2020,25.645897985482854
Rhode Island,2021,26.530033662949716
Tennessee,2015,36.987878787878785
Tennessee,2016,34.106951871657756
Tennessee,2017,31.84656084656085
Tennessee,2018,34.972527472527474
Tennessee,2019,33.595565149136576
Tennessee,2020,32.746173469387756
Tennessee,2021,35.85586734693877
Texas,2015,34.88638410446921
Texas,2016,33.209087116471345
Texas,2017,33.031542531542534
Texas,2018,36.29120879120879
Texas,2019,32.99103395364556
Texas,2020,36.327925185657385
Texas,2021,34.87402993746059
Utah,2015,32.666666666666664
Utah,2016,27.798941798941797
Utah,2017,27.41269841269841
Utah,2018,22.62087912087912
Utah,2019,22.664246467817897
Utah,2020,30.214285714285715
Utah,2021,31.900510204081634
Washington,2015,29.206349206349206
Washington,2016,23.048128342245988
Washington,2017,20.978835978835978
Washington,2018,21.016483516483518
Washington,2019,26.869309262166404
Washington,2020,27.724489795918366
Washington,2021,24.04081632653061
Wisconsin,2015,35.39153439153439
Wisconsin,2016,33.893048128342244
Wisconsin,2017,29.645502645502646
Wisconsin,2018,32.77472527472528
Wisconsin,2019,32.82947409733124
Wisconsin,2020,32.17857142857143
Wisconsin,2021,36.43877551020408
