"StateFIPS","State","Year","Value","Data Comment",
"04","Arizona","2015","4,894","",
"04","Arizona","2016","3,431","",
"04","Arizona","2017","3,237","",
"04","Arizona","2018","3,161","",
"04","Arizona","2019","2,960","",
"04","Arizona","2020","1,766","",
"04","Arizona","2021","1,856","",
"06","California","2015","26,930","",
"06","California","2016","18,312","",
"06","California","2017","18,112","",
"06","California","2018","16,975","",
"06","California","2019","17,606","",
"08","Colorado","2015","3,170","",
"08","Colorado","2016","2,484","",
"08","Colorado","2017","2,367","",
"08","Colorado","2018","2,236","",
"08","Colorado","2019","2,352","",
"08","Colorado","2020","1,263","",
"09","Connecticut","2015","3,831","",
"09","Connecticut","2016","2,686","",
"09","Connecticut","2017","2,536","",
"09","Connecticut","2018","2,451","",
"09","Connecticut","2019","2,205","",
"09","Connecticut","2020","1,300","",
"09","Connecticut","2021","1,508","",
"12","Florida","2015","23,844","",
"12","Florida","2016","15,293","",
"12","Florida","2017","14,047","",
"12","Florida","2018","13,711","",
"12","Florida","2019","12,906","",
"12","Florida","2020","7,713","",
"12","Florida","2021","8,131","",
"19","Iowa","2015","1,588","",
"19","Iowa","2016","976","",
"19","Iowa","2017","906","",
"19","Iowa","2018","820","",
"19","Iowa","2019","724","",
"19","Iowa","2020","425","",
"19","Iowa","2021","469","",
"20","Kansas","2015","1,625","",
"20","Kansas","2016","1,134","",
"20","Kansas","2017","1,029","",
"20","Kansas","2018","1,001","",
"20","Kansas","2019","984","",
"20","Kansas","2020","570","",
"21","Kentucky","2015","3,806","",
"21","Kentucky","2016","1,926","",
"21","Kentucky","2017","1,748","",
"21","Kentucky","2018","1,856","",
"21","Kentucky","2019","1,805","",
"21","Kentucky","2020","904","",
"22","Louisiana","2015","3,539","",
"22","Louisiana","2016","2,286","",
"22","Louisiana","2017","2,023","",
"22","Louisiana","2018","1,963","",
"22","Louisiana","2019","1,972","",
"22","Louisiana","2020","1,078","",
"23","Maine","2015","670","",
"23","Maine","2016","421","",
"23","Maine","2017","321","",
"23","Maine","2018","354","",
"23","Maine","2019","342","",
"23","Maine","2020","187","",
"24","Maryland","2015","5,765","",
"24","Maryland","2016","3,462","",
"24","Maryland","2017","3,507","",
"24","Maryland","2018","3,156","",
"25","Massachusetts","2015","7,347","",
"25","Massachusetts","2016","5,091","",
"25","Massachusetts","2017","5,170","",
"25","Massachusetts","2018","5,015","",
"25","Massachusetts","2019","4,771","",
"26","Michigan","2015","10,319","",
"26","Michigan","2016","5,839","",
"26","Michigan","2017","6,074","",
"26","Michigan","2018","6,062","",
"26","Michigan","2019","6,084","",
"27","Minnesota","2015","2,696","",
"27","Minnesota","2016","1,854","",
"27","Minnesota","2017","1,505","",
"27","Minnesota","2018","1,548","",
"27","Minnesota","2019","1,441","",
"27","Minnesota","2020","860","",
"29","Missouri","2015","5,824","",
"29","Missouri","2016","3,714","",
"29","Missouri","2017","3,643","",
"29","Missouri","2018","3,752","",
"29","Missouri","2019","3,412","",
"29","Missouri","2020","1,916","",
"33","New Hampshire","2015","730","",
"33","New Hampshire","2016","451","",
"33","New Hampshire","2017","450","",
"33","New Hampshire","2018","434","",
"33","New Hampshire","2019","436","",
"33","New Hampshire","2020","253","",
"34","New Jersey","2015","11,113","",
"34","New Jersey","2016","7,521","",
"34","New Jersey","2017","6,513","",
"34","New Jersey","2018","6,810","",
"34","New Jersey","2019","6,211","",
"34","New Jersey","2020","3,418","",
"34","New Jersey","2021","4,302","",
"35","New Mexico","2015","1,533","",
"35","New Mexico","2016","1,183","",
"35","New Mexico","2017","994","",
"35","New Mexico","2018","1,014","",
"35","New Mexico","2019","947","",
"35","New Mexico","2020","511","",
"35","New Mexico","2021","669","",
"36","New York","2015","28,603","",
"36","New York","2016","21,320","",
"36","New York","2017","19,507","",
"36","New York","2018","20,011","",
"36","New York","2019","18,608","",
"36","New York","2020","9,507","",
"36","New York","2021","12,054","",
"41","Oregon","2015","1,844","",
"41","Oregon","2016","1,126","",
"41","Oregon","2017","1,176","",
"41","Oregon","2018","1,150","",
"41","Oregon","2019","1,098","",
"41","Oregon","2020","684","",
"41","Oregon","2021","613","",
"42","Pennsylvania","2015","14,922","",
"42","Pennsylvania","2016","10,395","",
"42","Pennsylvania","2017","9,599","",
"42","Pennsylvania","2018","10,030","",
"42","Pennsylvania","2019","8,472","",
"42","Pennsylvania","2020","4,885","",
"44","Rhode Island","2015","1,203","",
"44","Rhode Island","2016","752","",
"44","Rhode Island","2017","744","",
"44","Rhode Island","2018","634","",
"44","Rhode Island","2019","736","",
"44","Rhode Island","2020","383","",
"44","Rhode Island","2021","382","",
"47","Tennessee","2015","4,691","",
"47","Tennessee","2016","2,563","",
"47","Tennessee","2017","2,407","",
"47","Tennessee","2018","2,470","",
"47","Tennessee","2019","2,393","",
"49","Utah","2015","1,274","",
"49","Utah","2016","992","",
"49","Utah","2017","832","",
"49","Utah","2018","836","",
"49","Utah","2019","831","",
"49","Utah","2020","579","",
"49","Utah","2021","829","",
"50","Vermont","2015","271","",
"50","Vermont","2016","134","",
"50","Vermont","2017","135","",
"50","Vermont","2018","146","",
"50","Vermont","2019","157","",
"50","Vermont","2020","91","",
"51","Virginia","2015","6,690","",
"51","Virginia","2016","4,000","",
"51","Virginia","2017","3,827","",
"51","Virginia","2018","3,774","",
"51","Virginia","2019","3,651","",
"51","Virginia","2020","2,000","",
"51","Virginia","2021","1,949","",
"53","Washington","2015","3,284","",
"53","Washington","2016","2,288","",
"53","Washington","2017","2,202","",
"53","Washington","2018","2,070","",
"53","Washington","2019","1,920","",
"53","Washington","2020","1,301","",
"54","West Virginia","2015","1,504","",
"54","West Virginia","2016","612","",
"55","Wisconsin","2015","3,954","",
"55","Wisconsin","2016","1,981","",
"55","Wisconsin","2017","2,019","",
"55","Wisconsin","2018","2,020","",
"55","Wisconsin","2019","1,687","",
"55","Wisconsin","2020","934","",
"55","Wisconsin","2021","1,171","",
